path,type,size,parent_directory
E:\GB\BI\6\hw6.pbix,file,3371419,E:\GB\BI\6
E:\GB\BI\6\hw6.pdf,file,197076,E:\GB\BI\6
E:\GB\BI\6\Task06.pbix,file,2647819,E:\GB\BI\6
E:\GB\BI\6\Task1.pbix,file,3858206,E:\GB\BI\6
E:\GB\BI\6,directory,10074520,E:\GB\BI
E:\GB\BI\7\07.pbix,file,5302680,E:\GB\BI\7
E:\GB\BI\7\hw07.pbix,file,5302344,E:\GB\BI\7
E:\GB\BI\7\hw07.pdf,file,222315,E:\GB\BI\7
E:\GB\BI\7,directory,10827339,E:\GB\BI
E:\GB\Calc\123.drawio,file,2182,E:\GB\Calc
E:\GB\Calc\controller.py,file,700,E:\GB\Calc
E:\GB\Calc\init.py,file,0,E:\GB\Calc
E:\GB\Calc\input.py,file,988,E:\GB\Calc
E:\GB\Calc\Komp.py,file,1097,E:\GB\Calc
E:\GB\Calc\main.py,file,42,E:\GB\Calc
E:\GB\Calc\model.py,file,1229,E:\GB\Calc
E:\GB\Calc\README.md,file,470,E:\GB\Calc
E:\GB\Calc\view.py,file,168,E:\GB\Calc
E:\GB\Calc,directory,6876,E:\GB
E:\GB\Calc\.git\COMMIT_EDITMSG,file,39,E:\GB\Calc\.git
E:\GB\Calc\.git\config,file,336,E:\GB\Calc\.git
E:\GB\Calc\.git\description,file,73,E:\GB\Calc\.git
E:\GB\Calc\.git\FETCH_HEAD,file,96,E:\GB\Calc\.git
E:\GB\Calc\.git\HEAD,file,21,E:\GB\Calc\.git
E:\GB\Calc\.git\index,file,970,E:\GB\Calc\.git
E:\GB\Calc\.git\ORIG_HEAD,file,41,E:\GB\Calc\.git
E:\GB\Calc\.git,directory,1576,E:\GB\Calc
E:\GB\Calc\.git\hooks\applypatch-msg.sample,file,478,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\commit-msg.sample,file,896,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\fsmonitor-watchman.sample,file,4726,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\post-update.sample,file,189,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-applypatch.sample,file,424,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-commit.sample,file,1643,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-merge-commit.sample,file,416,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-push.sample,file,1374,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-rebase.sample,file,4898,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\pre-receive.sample,file,544,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\prepare-commit-msg.sample,file,1492,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\push-to-checkout.sample,file,2783,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks\update.sample,file,3650,E:\GB\Calc\.git\hooks
E:\GB\Calc\.git\hooks,directory,23513,E:\GB\Calc\.git
E:\GB\Calc\.git\info\exclude,file,240,E:\GB\Calc\.git\info
E:\GB\Calc\.git\info,directory,240,E:\GB\Calc\.git
E:\GB\Calc\.git\logs\HEAD,file,1606,E:\GB\Calc\.git\logs
E:\GB\Calc\.git\logs,directory,1606,E:\GB\Calc\.git
E:\GB\Calc\.git\logs\refs,directory,0,E:\GB\Calc\.git\logs
